Track,Driver,GridPosition,Stint,Compound,StintLength
Monza,ALB,9.0,2.0,HARD,36.0
Monza,ALO,11.0,1.0,MEDIUM,12.0
Monza,ALO,11.0,2.0,HARD,23.0
Monza,ALO,11.0,3.0,HARD,18.0
Monza,BOT,19.0,1.0,HARD,33.0
Monza,BOT,19.0,2.0,MEDIUM,19.0
Monza,COL,18.0,1.0,MEDIUM,16.0
Monza,COL,18.0,2.0,HARD,37.0
Monza,GAS,14.0,1.0,MEDIUM,10.0
Monza,GAS,14.0,2.0,HARD,20.0
Monza,GAS,14.0,3.0,HARD,22.0
Monza,HAM,6.0,1.0,MEDIUM,15.0
Monza,HAM,6.0,2.0,HARD,22.0
Monza,HAM,6.0,3.0,HARD,16.0
Monza,HUL,10.0,1.0,MEDIUM,5.0
Monza,HUL,10.0,2.0,HARD,27.0
Monza,HUL,10.0,3.0,HARD,20.0
Monza,LEC,4.0,1.0,MEDIUM,15.0
Monza,LEC,4.0,2.0,HARD,38.0
Monza,MAG,13.0,1.0,MEDIUM,14.0
Monza,MAG,13.0,2.0,HARD,39.0
Monza,NOR,1.0,1.0,MEDIUM,14.0
Monza,NOR,1.0,2.0,HARD,18.0
Monza,NOR,1.0,3.0,HARD,21.0
Monza,OCO,15.0,1.0,HARD,31.0
Monza,OCO,15.0,2.0,MEDIUM,21.0
Monza,PER,8.0,1.0,HARD,23.0
Monza,PER,8.0,2.0,HARD,12.0
Monza,PER,8.0,3.0,MEDIUM,18.0
Monza,PIA,2.0,1.0,MEDIUM,16.0
Monza,PIA,2.0,2.0,HARD,22.0
Monza,PIA,2.0,3.0,HARD,15.0
Monza,RIC,12.0,1.0,MEDIUM,11.0
Monza,RIC,12.0,2.0,HARD,42.0
Monza,RUS,3.0,1.0,MEDIUM,11.0
Monza,RUS,3.0,2.0,HARD,22.0
Monza,RUS,3.0,3.0,HARD,20.0
Monza,SAI,5.0,1.0,MEDIUM,19.0
Monza,SAI,5.0,2.0,HARD,34.0
Monza,STR,17.0,1.0,HARD,19.0
Monza,STR,17.0,2.0,HARD,17.0
Monza,STR,17.0,3.0,MEDIUM,14.0
Monza,STR,17.0,4.0,SOFT,2.0
Monza,TSU,16.0,1.0,HARD,7.0
Monza,VER,7.0,1.0,HARD,22.0
Monza,VER,7.0,2.0,HARD,19.0
Monza,VER,7.0,3.0,MEDIUM,12.0
Monza,ZHO,20.0,1.0,MEDIUM,15.0
Monza,ZHO,20.0,2.0,HARD,37.0
Abu Dhabi,ALB,18.0,1.0,MEDIUM,12.0
Abu Dhabi,ALB,18.0,2.0,HARD,45.0
Abu Dhabi,ALO,8.0,1.0,MEDIUM,13.0
Abu Dhabi,ALO,8.0,2.0,HARD,24.0
Abu Dhabi,ALO,8.0,3.0,HARD,21.0
Abu Dhabi,BOT,9.0,1.0,MEDIUM,6.0
Abu Dhabi,BOT,9.0,2.0,HARD,24.0
Abu Dhabi,COL,20.0,1.0,MEDIUM,3.0
Abu Dhabi,COL,20.0,2.0,HARD,23.0
Abu Dhabi,DOO,17.0,1.0,MEDIUM,22.0
Abu Dhabi,DOO,17.0,2.0,HARD,35.0
Abu Dhabi,GAS,5.0,1.0,MEDIUM,14.0
Abu Dhabi,GAS,5.0,2.0,HARD,44.0
Abu Dhabi,HAM,16.0,1.0,HARD,34.0
Abu Dhabi,HAM,16.0,2.0,MEDIUM,24.0
Abu Dhabi,HUL,7.0,1.0,MEDIUM,13.0
Abu Dhabi,HUL,7.0,2.0,HARD,45.0
Abu Dhabi,LAW,12.0,1.0,MEDIUM,23.0
Abu Dhabi,LAW,12.0,2.0,HARD,1.0
Abu Dhabi,LAW,12.0,3.0,HARD,5.0
Abu Dhabi,LAW,12.0,4.0,HARD,27.0
Abu Dhabi,LEC,19.0,1.0,MEDIUM,20.0
Abu Dhabi,LEC,19.0,2.0,HARD,38.0
Abu Dhabi,MAG,14.0,1.0,MEDIUM,12.0
Abu Dhabi,MAG,14.0,2.0,HARD,17.0
Abu Dhabi,MAG,14.0,3.0,HARD,1.0
Abu Dhabi,MAG,14.0,4.0,SOFT,25.0
Abu Dhabi,MAG,14.0,5.0,SOFT,2.0
Abu Dhabi,NOR,1.0,1.0,MEDIUM,26.0
Abu Dhabi,NOR,1.0,2.0,HARD,32.0
Abu Dhabi,PER,10.0,1.0,MEDIUM,1.0
Abu Dhabi,PIA,2.0,1.0,MEDIUM,4.0
Abu Dhabi,PIA,2.0,2.0,HARD,28.0
Abu Dhabi,PIA,2.0,3.0,HARD,26.0
Abu Dhabi,RUS,6.0,1.0,MEDIUM,26.0
Abu Dhabi,RUS,6.0,2.0,HARD,32.0
Abu Dhabi,SAI,3.0,1.0,MEDIUM,25.0
Abu Dhabi,SAI,3.0,2.0,HARD,33.0
Abu Dhabi,STR,13.0,1.0,MEDIUM,11.0
Abu Dhabi,STR,13.0,2.0,HARD,21.0
Abu Dhabi,STR,13.0,3.0,HARD,25.0
Abu Dhabi,TSU,11.0,1.0,MEDIUM,22.0
Abu Dhabi,TSU,11.0,2.0,HARD,35.0
Abu Dhabi,VER,4.0,1.0,MEDIUM,29.0
Abu Dhabi,VER,4.0,2.0,HARD,29.0
Abu Dhabi,ZHO,15.0,1.0,MEDIUM,12.0
Abu Dhabi,ZHO,15.0,2.0,HARD,27.0
Abu Dhabi,ZHO,15.0,3.0,HARD,18.0
