Season,EventName,Driver,LapNumber,TotalLaps,TyreLife,Compound,TrackStatus,StintID,LapTimeSeconds,FuelLoadKgEst,FuelCorrection,AirTemp,TrackTemp,ThermalDegProxy,MechWearProxy,LapFrac
2025,Abu Dhabi Grand Prix,ALB,18,58,10.0,HARD,1,2,89.987,71.1,-2.1329999999999996,26.67402597402597,31.06168831168831,8.874768089053802,10.46551724137931,0.3103448275862069
2025,Abu Dhabi Grand Prix,ALB,19,58,11.0,HARD,1,2,90.047,69.4,-2.0820000000000003,26.67402597402597,31.06168831168831,9.762244897959183,11.54051724137931,0.3275862068965517
2025,Abu Dhabi Grand Prix,ALB,20,58,12.0,HARD,1,2,90.109,67.7,-2.031,26.67402597402597,31.06168831168831,10.649721706864563,12.620689655172413,0.3448275862068966
2025,Abu Dhabi Grand Prix,ALB,21,58,13.0,HARD,1,2,90.27,66.0,-1.98,26.67402597402597,31.06168831168831,11.537198515769944,13.70603448275862,0.3620689655172414
2025,Abu Dhabi Grand Prix,ALB,22,58,14.0,HARD,1,2,90.298,64.30000000000001,-1.9290000000000003,26.67402597402597,31.06168831168831,12.424675324675324,14.796551724137931,0.3793103448275862
2025,Abu Dhabi Grand Prix,ALB,23,58,15.0,HARD,1,2,90.621,62.6,-1.878,26.67402597402597,31.06168831168831,13.312152133580705,15.892241379310345,0.39655172413793105
2025,Abu Dhabi Grand Prix,ALB,24,58,16.0,HARD,1,2,90.388,60.9,-1.827,26.67402597402597,31.06168831168831,14.199628942486084,16.99310344827586,0.41379310344827586
2025,Abu Dhabi Grand Prix,ALB,25,58,17.0,HARD,1,2,90.934,59.2,-1.776,26.67402597402597,31.06168831168831,15.087105751391464,18.099137931034484,0.43103448275862066
2025,Abu Dhabi Grand Prix,ALB,26,58,18.0,HARD,1,2,90.294,57.5,-1.7249999999999999,26.67402597402597,31.06168831168831,15.974582560296845,19.210344827586205,0.4482758620689655
2025,Abu Dhabi Grand Prix,ALB,27,58,19.0,HARD,1,2,90.113,55.800000000000004,-1.6740000000000002,26.67402597402597,31.06168831168831,16.862059369202225,20.32672413793103,0.46551724137931033
2025,Abu Dhabi Grand Prix,ALB,28,58,20.0,HARD,1,2,91.014,54.1,-1.623,26.67402597402597,31.06168831168831,17.749536178107604,21.448275862068968,0.4827586206896552
2025,Abu Dhabi Grand Prix,ALB,29,58,21.0,HARD,1,2,90.422,52.4,-1.5719999999999998,26.67402597402597,31.06168831168831,18.637012987012987,22.575,0.5
2025,Abu Dhabi Grand Prix,ALB,30,58,22.0,HARD,1,2,90.215,50.7,-1.5210000000000001,26.67402597402597,31.06168831168831,19.524489795918367,23.70689655172414,0.5172413793103449
2025,Abu Dhabi Grand Prix,ALB,31,58,23.0,HARD,1,2,90.539,49.0,-1.47,26.67402597402597,31.06168831168831,20.411966604823746,24.84396551724138,0.5344827586206896
2025,Abu Dhabi Grand Prix,ALB,32,58,24.0,HARD,1,2,90.485,47.300000000000004,-1.419,26.67402597402597,31.06168831168831,21.299443413729126,25.98620689655172,0.5517241379310345
2025,Abu Dhabi Grand Prix,ALB,35,58,2.0,MEDIUM,1,3,88.588,42.2,-1.266,26.67402597402597,31.06168831168831,1.7749536178107606,2.1810344827586206,0.603448275862069
2025,Abu Dhabi Grand Prix,ALB,36,58,3.0,MEDIUM,1,3,88.439,40.5,-1.2149999999999999,26.67402597402597,31.06168831168831,2.6624304267161407,3.2793103448275867,0.6206896551724138
2025,Abu Dhabi Grand Prix,ALB,37,58,4.0,MEDIUM,1,3,88.411,38.800000000000004,-1.1640000000000001,26.67402597402597,31.06168831168831,3.549907235621521,4.382758620689655,0.6379310344827587
2025,Abu Dhabi Grand Prix,ALB,38,58,5.0,MEDIUM,1,3,88.569,37.1,-1.113,26.67402597402597,31.06168831168831,4.437384044526901,5.491379310344827,0.6551724137931034
2025,Abu Dhabi Grand Prix,ALB,39,58,6.0,MEDIUM,1,3,88.87,35.400000000000006,-1.062,26.67402597402597,31.06168831168831,5.324860853432281,6.605172413793104,0.6724137931034483
2025,Abu Dhabi Grand Prix,ALB,40,58,7.0,MEDIUM,1,3,89.722,33.7,-1.0110000000000001,26.67402597402597,31.06168831168831,6.212337662337662,7.724137931034482,0.6896551724137931
2025,Abu Dhabi Grand Prix,ALB,41,58,8.0,MEDIUM,1,3,88.777,32.0,-0.96,26.67402597402597,31.06168831168831,7.099814471243042,8.848275862068965,0.7068965517241379
2025,Abu Dhabi Grand Prix,ALB,42,58,9.0,MEDIUM,1,3,88.845,30.299999999999997,-0.9089999999999999,26.67402597402597,31.06168831168831,7.987291280148423,9.977586206896552,0.7241379310344828
2025,Abu Dhabi Grand Prix,ALB,43,58,10.0,MEDIUM,1,3,88.391,28.60000000000001,-0.8580000000000002,26.67402597402597,31.06168831168831,8.874768089053802,11.112068965517242,0.7413793103448276
2025,Abu Dhabi Grand Prix,ALB,44,58,11.0,MEDIUM,1,3,88.507,26.900000000000006,-0.8070000000000002,26.67402597402597,31.06168831168831,9.762244897959183,12.251724137931033,0.7586206896551724
2025,Abu Dhabi Grand Prix,ALB,45,58,12.0,MEDIUM,1,3,88.367,25.200000000000003,-0.756,26.67402597402597,31.06168831168831,10.649721706864563,13.396551724137932,0.7758620689655172
2025,Abu Dhabi Grand Prix,ALB,46,58,13.0,MEDIUM,1,3,88.517,23.5,-0.705,26.67402597402597,31.06168831168831,11.537198515769944,14.546551724137931,0.7931034482758621
2025,Abu Dhabi Grand Prix,ALB,47,58,14.0,MEDIUM,1,3,89.563,21.799999999999997,-0.6539999999999999,26.67402597402597,31.06168831168831,12.424675324675324,15.701724137931036,0.8103448275862069
2025,Abu Dhabi Grand Prix,ALB,48,58,15.0,MEDIUM,1,3,88.947,20.10000000000001,-0.6030000000000002,26.67402597402597,31.06168831168831,13.312152133580705,16.862068965517242,0.8275862068965517
2025,Abu Dhabi Grand Prix,ALB,49,58,16.0,MEDIUM,1,3,89.29,18.400000000000006,-0.5520000000000002,26.67402597402597,31.06168831168831,14.199628942486084,18.02758620689655,0.8448275862068966
2025,Abu Dhabi Grand Prix,ALB,50,58,17.0,MEDIUM,1,3,89.526,16.700000000000003,-0.5010000000000001,26.67402597402597,31.06168831168831,15.087105751391464,19.198275862068968,0.8620689655172413
2025,Abu Dhabi Grand Prix,ALB,51,58,18.0,MEDIUM,1,3,89.42,15.0,-0.44999999999999996,26.67402597402597,31.06168831168831,15.974582560296845,20.374137931034483,0.8793103448275862
2025,Abu Dhabi Grand Prix,ALB,52,58,19.0,MEDIUM,1,3,89.393,13.299999999999997,-0.3989999999999999,26.67402597402597,31.06168831168831,16.862059369202225,21.555172413793102,0.896551724137931
2025,Abu Dhabi Grand Prix,ALB,53,58,20.0,MEDIUM,1,3,88.627,11.600000000000009,-0.34800000000000025,26.67402597402597,31.06168831168831,17.749536178107604,22.74137931034483,0.9137931034482759
2025,Abu Dhabi Grand Prix,ALB,54,58,21.0,MEDIUM,1,3,88.752,9.900000000000006,-0.29700000000000015,26.67402597402597,31.06168831168831,18.637012987012987,23.932758620689654,0.9310344827586207
2025,Abu Dhabi Grand Prix,ALB,55,58,22.0,MEDIUM,1,3,88.785,8.200000000000003,-0.24600000000000008,26.67402597402597,31.06168831168831,19.524489795918367,25.129310344827584,0.9482758620689655
2025,Abu Dhabi Grand Prix,ALB,56,58,23.0,MEDIUM,1,3,89.061,6.5,-0.195,26.67402597402597,31.06168831168831,20.411966604823746,26.33103448275862,0.9655172413793104
2025,Abu Dhabi Grand Prix,ALB,57,58,24.0,MEDIUM,1,3,89.103,4.799999999999997,-0.1439999999999999,26.67402597402597,31.06168831168831,21.299443413729126,27.53793103448276,0.9827586206896551
2025,Abu Dhabi Grand Prix,ALB,58,58,25.0,MEDIUM,1,3,89.256,3.1000000000000085,-0.09300000000000025,26.67402597402597,31.06168831168831,22.186920222634505,28.749999999999996,1.0
